18,11,2,3
20,9,2,2
22,0,2,21
23,4,2,1
23,7,2,1
23,11,2,3
24,8,2,1
24,14,2,1
28,11,2,254
29,5,2,1
31,4,2,8
31,14,2,1
32,6,2,2
32,15,2,3
33,8,2,1
33,12,2,2
35,8,2,3
35,10,2,1
35,15,2,2
36,6,2,2
37,13,2,6
37,14,2,15
38,13,2,1
39,3,2,1
40,3,2,1
42,4,2,1
44,5,2,3
46,4,2,1
51,10,2,2
52,1,2,1
52,6,2,1
54,11,2,1
55,12,2,1
55,15,2,3
56,12,2,1
57,6,2,2
60,12,2,64
62,13,2,3
63,8,2,1
===== 10 =====
4,5,2,1
5,4,2,1
6,11,2,1
11,0,2,2
11,13,2,1
14,10,2,1
15,15,2,8
17,12,2,1
18,11,2,1
21,4,2,2
22,0,2,18
23,4,2,1
23,7,2,1
24,8,2,1
24,12,2,1
25,14,2,1
26,14,2,1
28,11,2,254
29,4,2,1
29,6,2,1
30,13,2,3
31,0,2,2
31,4,2,11
31,5,2,3
31,15,2,1
33,8,2,2
35,4,2,1
35,8,2,3
35,10,2,2
36,4,2,3
36,6,2,1
37,2,2,1
37,14,2,9
38,13,2,2
41,6,2,1
41,12,2,1
43,12,2,3
50,1,2,1
51,6,2,3
51,10,2,1
52,1,2,1
54,5,2,2
54,6,2,2
55,5,2,6
57,0,2,4
57,3,2,3
57,6,2,3
57,11,2,2
60,2,2,2
60,12,2,54
62,0,2,1
62,13,2,6
===== 11 =====
0,10,2,1
1,0,2,1
1,3,2,3
1,8,2,3
2,2,2,1
5,4,2,2
6,0,2,1
11,3,2,4
12,7,2,2
14,0,2,1
14,10,2,1
15,4,2,1
15,15,2,4
16,12,2,3
17,6,2,1
17,12,2,1
17,13,2,1
18,11,2,4
20,0,2,2
22,0,2,18
22,4,2,1
23,4,2,2
23,7,2,1
23,11,2,1
24,5,2,1
24,9,2,1
24,14,2,1
25,12,2,1
26,4,2,2
28,0,2,1
28,2,2,1
29,4,2,1
31,4,2,11
31,15,2,4
32,0,2,1
35,8,2,1
35,15,2,1
36,5,2,1
36,6,2,4
37,14,2,56
38,13,2,1
40,3,2,1
43,4,2,1
50,6,2,1
52,1,2,1
52,3,2,2
53,8,2,7
58,6,2,7
60,12,2,54
62,13,2,1
===== 12 =====
0,10,2,2
0,13,2,1
5,4,2,2
8,5,2,1
8,8,2,2
11,3,2,1
14,0,2,1
15,1,2,1
15,4,2,1
15,10,2,1
15,15,2,5
16,1,2,1
16,11,2,1
17,5,2,2
17,12,2,2
18,11,2,2
19,8,2,1
21,2,2,4
22,0,2,26
23,4,2,1
23,7,2,1
24,8,2,1
24,14,2,1
27,9,2,1
28,0,2,1
28,11,2,254
29,2,2,1
31,4,2,13
33,5,2,1
34,7,2,1
35,8,2,5
35,15,2,1
36,6,2,1
37,13,2,1
37,14,2,9
37,15,2,1
38,13,2,1
40,3,2,1
40,8,2,2
43,4,2,3
44,13,2,2
46,14,2,4
50,6,2,1
51,10,2,2
52,1,2,5
52,5,2,1
52,11,2,1
57,6,2,1
60,12,2,44
62,13,2,6
===== 13 =====
0,10,2,1
1,8,2,1
5,4,2,2
6,0,2,1
12,3,2,2
14,0,2,1
14,1,2,1
15,4,2,1
15,15,2,7
17,3,2,3
18,11,2,4
20,14,2,1
21,1,2,1
22,0,2,31
23,4,2,1
23,7,2,1
24,2,2,1
24,8,2,1
24,14,2,1
25,0,2,2
27,15,2,1
28,11,2,254
29,5,2,2
31,4,2,21
32,0,2,1
35,7,2,1
35,8,2,2
36,5,2,1
36,6,2,1
37,2,2,5
37,13,2,1
37,14,2,20
38,0,2,2
38,13,2,1
40,3,2,2
41,11,2,4
44,2,2,1
46,10,2,1
48,15,2,1
51,10,2,2
52,1,2,1
52,15,2,2
54,1,2,3
56,12,2,1
57,6,2,1
60,12,2,62
62,13,2,11
===== 14 =====
5,4,2,2
6,0,2,1
6,12,2,1
7,4,2,2
7,9,2,2
14,0,2,1
15,4,2,1
